Iteration,CurrentMin,CurrentMax,HistoricalMin,HistoricalMax,MeanFitness,StandardDevFitness,P0   ,P25  ,P50  ,P75  ,P100 ,MeanPheromone,StandardDevPheromone,P0   ,P25  ,P50  ,P75  ,P100 ,StepGradient(u/iter),TimeGradient(u/s),ElapsedTime(s),PheromoneImageSaved
72,3144.0000,4614.0000,2548.0000,4794.0000,3799.8800,350.8794,3144.0000,3549.0000,3757.0000,4030.5000,4614.0000,0.5702,0.1594,0.4850,0.4850,0.4850,0.5696,1.0000,-159.6800,-278298.2120,0.0574,true
73,2770.0000,4610.0000,2548.0000,4794.0000,3724.9600,371.7600,2770.0000,3446.5000,3792.0000,3982.5000,4610.0000,0.5656,0.1608,0.4801,0.4801,0.4801,0.5639,1.0000,74.9200,127870.7775,0.0586,true
74,2818.0000,4442.0000,2548.0000,4794.0000,3715.3000,365.1558,2818.0000,3498.5000,3722.0000,3980.0000,4442.0000,0.5611,0.1622,0.4753,0.4753,0.4753,0.5583,1.0000,9.6600,16824.4320,0.0574,true
75,2986.0000,4522.0000,2548.0000,4794.0000,3677.7400,350.5429,2986.0000,3422.0000,3654.0000,3898.0000,4522.0000,0.5566,0.1636,0.4706,0.4706,0.4706,0.5527,1.0000,37.5600,64589.2410,0.0582,true
76,2660.0000,4590.0000,2548.0000,4794.0000,3676.8600,404.3137,2660.0000,3417.0000,3675.0000,3971.0000,4590.0000,0.5521,0.1649,0.4659,0.4659,0.4659,0.5472,1.0000,0.8800,1484.2876,0.0593,true
77,2762.0000,4604.0000,2548.0000,4794.0000,3669.3000,401.9298,2762.0000,3379.0000,3659.0000,3942.5000,4604.0000,0.5477,0.1663,0.4612,0.4612,0.4612,0.5417,1.0000,7.5600,12995.0048,0.0582,true
78,2914.0000,4410.0000,2548.0000,4794.0000,3726.7200,327.6987,2914.0000,3531.0000,3745.0000,3916.0000,4410.0000,0.5433,0.1677,0.4566,0.4566,0.4566,0.5363,1.0000,-57.4200,-92924.1993,0.0618,true
79,3000.0000,4758.0000,2548.0000,4794.0000,3714.2600,376.3199,3000.0000,3434.0000,3705.0000,3951.5000,4758.0000,0.5390,0.1690,0.4520,0.4520,0.4520,0.5309,1.0000,12.4600,21961.6359,0.0567,true
80,2900.0000,4684.0000,2548.0000,4794.0000,3761.2000,354.6480,2900.0000,3540.0000,3789.0000,4030.5000,4684.0000,0.5347,0.1704,0.4475,0.4475,0.4475,0.5256,1.0000,-46.9400,-79856.8225,0.0588,true
81,2980.0000,4584.0000,2548.0000,4794.0000,3718.4000,352.5204,2980.0000,3425.5000,3719.0000,3939.5000,4584.0000,0.5305,0.1717,0.4430,0.4430,0.4430,0.5203,1.0000,42.8000,73515.6453,0.0582,true
82,2786.0000,4672.0000,2548.0000,4794.0000,3759.6200,362.2230,2786.0000,3500.5000,3780.0000,4046.0000,4672.0000,0.5263,0.1730,0.4386,0.4386,0.4386,0.5151,1.0000,-41.2200,-72098.9866,0.0572,true
83,2842.0000,4562.0000,2548.0000,4794.0000,3751.4600,363.5946,2842.0000,3493.0000,3758.0000,4029.0000,4562.0000,0.5222,0.1743,0.4342,0.4342,0.4342,0.5100,1.0000,8.1600,14508.5496,0.0562,true
84,2808.0000,4706.0000,2548.0000,4794.0000,3769.9400,387.3532,2808.0000,3466.0000,3803.0000,4053.5000,4706.0000,0.5180,0.1756,0.4299,0.4299,0.4299,0.5049,1.0000,-18.4800,-31695.1231,0.0583,true
85,2902.0000,4520.0000,2548.0000,4794.0000,3700.0400,368.9889,2902.0000,3431.5000,3711.0000,3941.0000,4520.0000,0.5140,0.1769,0.4256,0.4256,0.4256,0.4998,1.0000,69.9000,124411.0941,0.0562,true
86,2866.0000,4504.0000,2548.0000,4794.0000,3704.2000,348.4881,2866.0000,3497.0000,3688.0000,3940.0000,4504.0000,0.5100,0.1782,0.4213,0.4213,0.4213,0.4948,1.0000,-4.1600,-7208.5435,0.0577,true
87,2786.0000,4414.0000,2548.0000,4794.0000,3650.4800,377.3729,2786.0000,3425.0000,3608.0000,3892.0000,4414.0000,0.5060,0.1795,0.4171,0.4171,0.4171,0.4899,1.0000,53.7200,86852.4866,0.0619,true
88,2936.0000,4502.0000,2548.0000,4794.0000,3694.9000,371.5609,2936.0000,3407.5000,3698.0000,3963.0000,4502.0000,0.5020,0.1808,0.4129,0.4129,0.4129,0.4850,1.0000,-44.4200,-79112.6277,0.0561,true
89,2824.0000,4496.0000,2548.0000,4794.0000,3690.0200,387.2921,2824.0000,3423.0000,3705.0000,3982.0000,4496.0000,0.4981,0.1820,0.4088,0.4088,0.4088,0.4801,1.0000,4.8800,8533.6915,0.0572,true
90,2732.0000,4392.0000,2548.0000,4794.0000,3721.3000,342.2921,2732.0000,3522.5000,3754.0000,3986.5000,4392.0000,0.4942,0.1833,0.4047,0.4047,0.4047,0.4753,1.0000,-31.2800,-54611.3221,0.0573,true
91,2858.0000,4682.0000,2548.0000,4794.0000,3775.4000,390.4231,2858.0000,3493.0000,3800.0000,4107.0000,4682.0000,0.4904,0.1845,0.4007,0.4007,0.4007,0.4706,1.0000,-54.1000,-96229.7846,0.0562,true
92,3002.0000,4496.0000,2548.0000,4794.0000,3652.9400,341.8703,3002.0000,3407.5000,3626.0000,3886.5000,4496.0000,0.4866,0.1857,0.3967,0.3967,0.3967,0.4659,1.0000,122.4600,216072.9630,0.0567,true
93,2964.0000,4506.0000,2548.0000,4794.0000,3730.8400,369.7923,2964.0000,3469.5000,3724.0000,4010.5000,4506.0000,0.4829,0.1869,0.3927,0.3927,0.3927,0.4612,1.0000,-77.9000,-138480.7647,0.0563,true
94,2892.0000,4442.0000,2548.0000,4794.0000,3708.7000,337.1671,2892.0000,3509.5000,3689.0000,3922.5000,4442.0000,0.4791,0.1881,0.3888,0.3888,0.3888,0.4566,1.0000,22.1400,38045.0285,0.0582,true
95,3004.0000,4672.0000,2548.0000,4794.0000,3666.5000,332.4428,3004.0000,3435.0000,3692.0000,3872.0000,4672.0000,0.4755,0.1893,0.3849,0.3849,0.3849,0.4520,1.0000,42.2000,68892.6727,0.0613,true
96,2986.0000,4680.0000,2548.0000,4794.0000,3688.1200,401.8339,2986.0000,3328.5000,3679.0000,3939.0000,4680.0000,0.4718,0.1905,0.3810,0.3810,0.3810,0.4475,1.0000,-21.6200,-38743.5756,0.0558,true
97,2652.0000,4700.0000,2548.0000,4794.0000,3679.7600,359.3932,2652.0000,3461.5000,3672.0000,3921.5000,4700.0000,0.4682,0.1917,0.3772,0.3772,0.3772,0.4430,1.0000,8.3600,14600.2228,0.0573,true
98,2790.0000,4606.0000,2548.0000,4794.0000,3715.9200,350.1460,2790.0000,3421.5000,3731.0000,3975.0000,4606.0000,0.4646,0.1929,0.3735,0.3735,0.3735,0.4386,1.0000,-36.1600,-64311.7698,0.0562,true
99,2850.0000,4360.0000,2548.0000,4794.0000,3681.1000,351.8690,2850.0000,3430.5000,3683.0000,3952.0000,4360.0000,0.4611,0.1940,0.3697,0.3697,0.3697,0.4342,1.0000,34.8200,61931.3988,0.0562,true
100,2910.0000,4472.0000,2548.0000,4794.0000,3654.2200,312.1253,2910.0000,3476.5000,3706.0000,3848.0000,4472.0000,0.4576,0.1952,0.3660,0.3660,0.3660,0.4299,1.0000,26.8800,47271.7616,0.0569,true
101,2762.0000,4554.0000,2548.0000,4794.0000,3698.5200,388.7641,2762.0000,3456.0000,3675.0000,3994.0000,4554.0000,0.4541,0.1963,0.3624,0.3624,0.3624,0.4256,1.0000,-44.3000,-77531.0474,0.0571,true
102,2822.0000,4470.0000,2548.0000,4794.0000,3659.9400,360.0595,2822.0000,3398.0000,3697.0000,3913.0000,4470.0000,0.4507,0.1974,0.3587,0.3587,0.3587,0.4213,1.0000,38.5800,67433.9949,0.0572,true
103,2628.0000,4480.0000,2548.0000,4794.0000,3723.0600,390.2052,2628.0000,3436.0000,3744.0000,4010.0000,4480.0000,0.4473,0.1986,0.3552,0.3552,0.3552,0.4171,1.0000,-63.1200,-103922.6178,0.0607,true
104,2820.0000,4588.0000,2548.0000,4794.0000,3700.7000,351.7287,2820.0000,3489.0000,3681.0000,3894.5000,4588.0000,0.4439,0.1997,0.3516,0.3516,0.3516,0.4129,1.0000,22.3600,38986.8986,0.0574,true
105,2802.0000,4544.0000,2548.0000,4794.0000,3756.1400,353.4706,2802.0000,3529.5000,3811.0000,3973.0000,4544.0000,0.4406,0.2008,0.3481,0.3481,0.3481,0.4088,1.0000,-55.4400,-96871.2542,0.0572,true
